<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,25/09/18,16:17,115250,115270,115220,115270,142
SPFB.RTS-12.18,1,25/09/18,16:18,115270,115300,115260,115300,302
SPFB.RTS-12.18,1,25/09/18,16:19,115290,115310,115260,115290,355
SPFB.RTS-12.18,1,25/09/18,16:20,115290,115290,115260,115280,172
SPFB.RTS-12.18,1,25/09/18,16:21,115280,115390,115280,115320,1109
SPFB.RTS-12.18,1,25/09/18,16:22,115310,115340,115290,115310,222
SPFB.RTS-12.18,1,25/09/18,16:23,115310,115370,115310,115330,359
SPFB.RTS-12.18,1,25/09/18,16:24,115320,115330,115300,115330,321
SPFB.RTS-12.18,1,25/09/18,16:25,115320,115390,115320,115350,626
SPFB.RTS-12.18,1,25/09/18,16:26,115360,115380,115310,115310,374
SPFB.RTS-12.18,1,25/09/18,16:27,115310,115330,115290,115330,155
SPFB.RTS-12.18,1,25/09/18,16:28,115310,115320,115260,115260,238
SPFB.RTS-12.18,1,25/09/18,16:29,115260,115310,115250,115280,189
SPFB.RTS-12.18,1,25/09/18,16:30,115300,115300,115220,115230,276
SPFB.RTS-12.18,1,25/09/18,16:31,115240,115360,115240,115330,874
SPFB.RTS-12.18,1,25/09/18,16:32,115330,115350,115270,115330,622
SPFB.RTS-12.18,1,25/09/18,16:33,115330,115430,115320,115430,795
SPFB.RTS-12.18,1,25/09/18,16:34,115430,115440,115360,115400,586
SPFB.RTS-12.18,1,25/09/18,16:35,115390,115430,115360,115410,235
SPFB.RTS-12.18,1,25/09/18,16:36,115410,115420,115370,115380,297
SPFB.RTS-12.18,1,25/09/18,16:37,115390,115400,115350,115370,238
SPFB.RTS-12.18,1,25/09/18,16:38,115370,115390,115340,115380,219
SPFB.RTS-12.18,1,25/09/18,16:39,115390,115480,115360,115470,956
SPFB.RTS-12.18,1,25/09/18,16:40,115470,115500,115440,115490,923
SPFB.RTS-12.18,1,25/09/18,16:41,115490,115570,115400,115560,1755
SPFB.RTS-12.18,1,25/09/18,16:42,115560,115650,115540,115650,2156
SPFB.RTS-12.18,1,25/09/18,16:43,115640,115650,115560,115610,1508
SPFB.RTS-12.18,1,25/09/18,16:44,115620,115630,115560,115560,450
SPFB.RTS-12.18,1,25/09/18,16:45,115570,115570,115540,115550,382
SPFB.RTS-12.18,1,25/09/18,16:46,115560,115620,115550,115600,426
SPFB.RTS-12.18,1,25/09/18,16:47,115600,115660,115580,115590,1184
SPFB.RTS-12.18,1,25/09/18,16:48,115600,115600,115550,115560,644
SPFB.RTS-12.18,1,25/09/18,16:49,115560,115590,115550,115580,308
SPFB.RTS-12.18,1,25/09/18,16:50,115580,115600,115550,115570,297
SPFB.RTS-12.18,1,25/09/18,16:51,115580,115600,115560,115580,232
SPFB.RTS-12.18,1,25/09/18,16:52,115580,115810,115580,115730,4382
SPFB.RTS-12.18,1,25/09/18,16:53,115740,115770,115700,115720,712
SPFB.RTS-12.18,1,25/09/18,16:54,115720,115780,115700,115750,892
SPFB.RTS-12.18,1,25/09/18,16:55,115770,115780,115670,115700,1085
SPFB.RTS-12.18,1,25/09/18,16:56,115710,115800,115690,115790,671
SPFB.RTS-12.18,1,25/09/18,16:57,115800,115810,115740,115760,1691
SPFB.RTS-12.18,1,25/09/18,16:58,115750,115800,115690,115700,959
SPFB.RTS-12.18,1,25/09/18,16:59,115700,115740,115680,115740,507
SPFB.RTS-12.18,1,25/09/18,17:00,115730,115760,115680,115690,817
